Title, Year
"The Lost World",1925
"The Mysterious Island",1929
"King Kong",1933
"Son of Kong",1933
"One Million B.C.",1940
"The Beast from 20,000 Fathoms",1953
"Godzilla",1954
"Them!",1954
"Godzilla Raids Again",1955
"The Quatermass Xperiment",1955
"King Dinosaur",1955
"Tarantula",1955
"It Came From Beneath the Sea",1955
"Half Human",1955
"Godzilla: King of the Monsters!",1956
"X the Unknown",1956
"The Beast of Hollow Mountain",1956
"Rodan",1956
"Moby Dick",1956
"Quatermass 2",1957
"The Land Unknown",1957
"Beginning of the End",1957
"The Black Scorpion",1957
"The Deadly Mantis",1957
"Monster from Green Hell",1957
"Attack of the Crab Monsters",1957
"The Monster that Challenged the World",1957
"20 Million Miles To Earth",1957
"The Giant Claw",1957
"The Mysterians",1957
"Kronos",1957
"The Cyclops",1957
"The Amazing Colossal Man",1957
"The Monolith Monsters",1957
"The Blob",1958
"Varan",1958
"The Spider",1958
"War of the Colossal Beast",1958
"Attack of the 50 Foot Woman",1958
"The H-Man",1958
"The Strange World of Planet X",1958
"The Giant Behemoth",1959
"The 30-Foot Bride of Candy Rock",1959
"The Giant Gila Monster",1959
"Caltiki - The Immortal Monster",1959
"The Angry Red Planet",1959
"The Lost World",1960
"Mothra",1961
"Reptilicus",1961
"Gorgo",1961
"Mysterious Island",1961
"King Kong vs Godzilla",1962
"Kujira Gami",1962
"Gorath",1962
"Atragon",1963
"Mothra vs Godzilla",1964
"Ghidorah, the Three-Headed Monster",1964
"Dogora",1964
"Invasion of Astro-Monster",1965
"Gamera, the Giant Monster",1965
"Frankensein vs Baragon",1965
"Ebirah, Horror of the Deep",1966
"Gamera vs Barugon",1966
"Ultra Q",1966
"Ultraman",1966
"Daimajin",1966
"Return of Daimajin",1966
"Daimajin Strikes Again",1966
"One Million Years B.C.",1966
"The Magic Serpent",1966
"War of the Gargantuas",1966
"King Kong Escapes",1967
"Son of Godzilla",1967
"Quatermass and the Pit",1967
"Gamera vs Gyaos",1967
"Ultraseven",1967
"Yonggary",1967
"Space Monster, Wangmagwi",1967
"The X from Outer Space",1967
"Gappa, the Triphibian Monster",1967
"Destroy All Monsters",1968
"Gamera vs Viras",1968
"Phantom Monster Agon",1968
"All Monsters Attack",1969
"Gamera vs Guiron",1969
"The Valley of Gwangi",1969
"Latitude Zero",1969
"Gamera vs Jiger",1970
"Equinox",1970
"Space Amoeba",1970
"Godzilla vs Hedorah",1971
"Gamera vs Zigra",1971
"Return of Ultraman",1971
"Godzilla vs Gigan",1972
"Beware! The Blob",1972
"Daigoro vs Goliath",1972
"Godzilla vs Megalon",1973
"Godzilla vs Mechagodzilla",1974
"The Land That Time Forgot",1974
"Terror of Mechagodzilla",1975
"The Giant Spider Invasion",1975
"King Kong",1976
"War God",1976
"At the Earth's Core",1976
"The Food of the Gods",1976
"The Crater Lake Monster",1977
"Legend of Dinosaurs and Monster Birds",1977
"The Last Dinosaur",1977
"Empire of the Ants",1977
"The Mighty Peking Man",1977
"Goliathon",1977
"The Bermuda Depths",1978
"Prophecy",1979
"Gamera: Super Monster",1980
"Island Claws",1980
"Clash of the Titans",1981
"Q: The Winged Serpent",1982
"Attack of the Super Monsters",1983
"The Return of Godzilla",1984
"The Stuff",1985
"Pulgasari",1985
"War of the God Monsters",1985
"King Kong Lives",1986
"The Blob",1988
"Thunder Of Gigantic Serpent",1988
"Godzilla vs Biollante",1989
"Tremors",1990
"Godzilla vs King Ghidorah",1991
"Godzilla and Mothra: The Battle For Earth",1992
"Godzilla vs Mechagodzilla II",1993
"Jurassic Park",1993
"Attack of the 50 Foot Woman",1993
"Godzilla vs Spacegodzilla",1994
"Dinosaur Island",1994
