Title, Year
"Princess Mononoke",1997
"Godzilla, Mothra, and King Ghidorah: Giant Monsters All-Out Attack",2001
"King Kong",2005
"Gamera the Brave",2006
"Trollhunter",2010
"Pacific Rim",2013
"Godzilla",1954
"Gamera vs Barugon",1966
"The Blob",1988
"Tremors",1990
"Godzilla vs Mechagodzilla II",1993
"Godzilla vs Destoroya",1995
"Gamera 2: Attack of Legion",1996
"Godzilla: Final Wars",2004
"The Host",2006
"Cloverfield",2008
"Scooby-Doo! Legend of the Phantosaur",2011
"Colossal",2016
"Godzilla: City on the Edge of Battle",2018
"Godzilla: Planet Eater",2018
"Love and Monsters",2020
"King Kong",1933
"The Giant Claw",1957
"The Blob",1958
"Ultraman",1966
"Son of Godzilla",1967
"Gamera vs Gyaos",1967
"Destroy All Monsters",1968
"Godzilla vs Gigan",1972
"Godzilla vs Mechagodzilla",1974
"Godzilla vs Biollante",1989
"Attack of the 50 Foot Woman",1993
"Gamera: Guardian of the Universe",1995
"Rebirth of Mothra II",1997
"Gamera 3: Revenge of Iris",1999
"Godzilla: Tokyo SOS",2003
"Monsters",2010
"Grabbers",2012
"Godzilla",2014
"Shin Godzilla",2016
"Godzilla: King of the Monsters",2019
"Godzilla vs Kong",2021
"The Sea Beast",2022
"Troll",2022
"Son of Kong",1933
"The Beast from 20,000 Fathoms",1953
"Them!",1954
"Tarantula",1955
"The Monolith Monsters",1957
"Attack of the 50 Foot Woman",1958
"Mothra",1961
"King Kong vs Godzilla",1962
"Mothra vs Godzilla",1964
"Ghidorah, the Three-Headed Monster",1964
"Invasion of Astro-Monster",1965
"Frankensein vs Baragon",1965
"Ultra Q",1966
"Daimajin",1966
"One Million Years B.C.",1966
"King Kong Escapes",1967
"Gamera vs Guiron",1969
"Gamera vs Jiger",1970
"Terror of Mechagodzilla",1975
"Godzilla and Mothra: The Battle For Earth",1992
"Rebirth of Mothra",1996
"Rebirth of Mothra III",1998
"Godzilla 2000",1999
"Godzilla Against Mechagodzilla",2002
"Scooby-Doo and the Loch Ness Monster",2004
"Big Man Japan",2007
"Attack of the 50 Foot Cheerleader",2012
"Big Ass Spider",2013
"Kong: Skull Island",2017
"Godzilla: Planet of Monsters",2017
"Rampage",2018
"Howl from Beyond the Fog",2019
"Dragon Lizard Lord Super Monsters",2022
"The Lost World",1925
"Godzilla: King of the Monsters!",1956
"20 Million Miles To Earth",1957
"Caltiki - The Immortal Monster",1959
"Atragon",1963
"Gamera, the Giant Monster",1965
"Ebirah, Horror of the Deep",1966
"Return of Daimajin",1966
"Daimajin Strikes Again",1966
"Godzilla vs Hedorah",1971
"King Kong",1976
"Prophecy",1979
"The Return of Godzilla",1984
"Godzilla vs King Ghidorah",1991
"Godzilla vs Spacegodzilla",1994
"Attack of the 60 Foot Centerfold",1995
"Godzilla",1998
"Godzilla vs Megaguirus",2000
"Monsters vs Aliens",2009
"Pacific Rim: Uprising",2018
"God Raiga vs King Ohga: War of the Monsters",2021
"Pacific Rim: The Black",2021
"Godzilla Raids Again",1955
"The Monster that Challenged the World",1957
"The 30-Foot Bride of Candy Rock",1959
"All Monsters Attack",1969
"Gamera vs Zigra",1971
"Godzilla vs Megalon",1973
"King Kong Lives",1986
"Dinosaur Island",1994
"Raiga: God of Monsters",2009
"Dinocroc vs Supergator",2010
"Giantess Battle Attack",2022
"It Came From Beneath the Sea",1955
"Gamera vs Viras",1968
"Gamera: Super Monster",1980
"The Mighty Kong",1998
"Reigo: King of the Sea Monsters",2005
"Hammer of Draco Wrath of Dragons",2022
"Attack of the 50 Foot Camgirl",2022
./makeLetterboxdCSV.lua
