Title, Year, Rating
"Princess Mononoke",1997,5.0
"Godzilla, Mothra, and King Ghidorah: Giant Monsters All-Out Attack",2001,5.0
"King Kong",2005,5.0
"Gamera the Brave",2006,5.0
"Trollhunter",2010,5.0
"Pacific Rim",2013,5.0
"Godzilla",1954,4.0
"Gamera vs Barugon",1966,4.0
"The Blob",1988,4.0
"Tremors",1990,4.0
"Godzilla vs Mechagodzilla II",1993,4.0
"Godzilla vs Destoroya",1995,4.0
"Gamera 2: Attack of Legion",1996,4.0
"Godzilla: Final Wars",2004,4.0
"The Host",2006,4.0
"Cloverfield",2008,4.0
"Scooby-Doo! Legend of the Phantosaur",2011,4.0
"Colossal",2016,4.0
"Godzilla: City on the Edge of Battle",2018,4.0
"Godzilla: Planet Eater",2018,4.0
"Love and Monsters",2020,4.0
"King Kong",1933,3.5
"The Giant Claw",1957,3.5
"The Blob",1958,3.5
"Ultraman",1966,3.5
"Son of Godzilla",1967,3.5
"Gamera vs Gyaos",1967,3.5
"Destroy All Monsters",1968,3.5
"Godzilla vs Gigan",1972,3.5
"Godzilla vs Mechagodzilla",1974,3.5
"Godzilla vs Biollante",1989,3.5
"Jurassic Park",1993,3.5
"Attack of the 50 Foot Woman",1993,3.5
"Gamera: Guardian of the Universe",1995,3.5
"Rebirth of Mothra II",1997,3.5
"Gamera 3: Revenge of Iris",1999,3.5
"Godzilla: Tokyo SOS",2003,3.5
"Monsters",2010,3.5
"Grabbers",2012,3.5
"Godzilla",2014,3.5
"Shin Godzilla",2016,3.5
"Godzilla: King of the Monsters",2019,3.5
"Godzilla vs Kong",2021,3.5
"The Sea Beast",2022,3.5
"Troll",2022,3.5
"Son of Kong",1933,2.5
"The Beast from 20,000 Fathoms",1953,2.5
"Them!",1954,2.5
"Tarantula",1955,2.5
"The Monolith Monsters",1957,2.5
"Attack of the 50 Foot Woman",1958,2.5
"Mothra",1961,2.5
"King Kong vs Godzilla",1962,2.5
"Mothra vs Godzilla",1964,2.5
"Ghidorah, the Three-Headed Monster",1964,2.5
"Invasion of Astro-Monster",1965,2.5
"Frankensein vs Baragon",1965,2.5
"Ultra Q",1966,2.5
"Daimajin",1966,2.5
"One Million Years B.C.",1966,2.5
"King Kong Escapes",1967,2.5
"Gamera vs Guiron",1969,2.5
"Gamera vs Jiger",1970,2.5
"Terror of Mechagodzilla",1975,2.5
"Godzilla and Mothra: The Battle For Earth",1992,2.5
"Rebirth of Mothra",1996,2.5
"Rebirth of Mothra III",1998,2.5
"Godzilla 2000",1999,2.5
"Godzilla Against Mechagodzilla",2002,2.5
"Scooby-Doo and the Loch Ness Monster",2004,2.5
"Big Man Japan",2007,2.5
"Attack of the 50 Foot Cheerleader",2012,2.5
"Big Ass Spider",2013,2.5
"Kong: Skull Island",2017,2.5
"Godzilla: Planet of Monsters",2017,2.5
"Rampage",2018,2.5
"Howl from Beyond the Fog",2019,2.5
"Dragon Lizard Lord Super Monsters",2022,2.5
"The Lost World",1925,2.0
"Godzilla: King of the Monsters!",1956,2.0
"20 Million Miles To Earth",1957,2.0
"Caltiki - The Immortal Monster",1959,2.0
"Atragon",1963,2.0
"Gamera, the Giant Monster",1965,2.0
"Ebirah, Horror of the Deep",1966,2.0
"Return of Daimajin",1966,2.0
"Daimajin Strikes Again",1966,2.0
"Godzilla vs Hedorah",1971,2.0
"King Kong",1976,2.0
"Prophecy",1979,2.0
"The Return of Godzilla",1984,2.0
"Godzilla vs King Ghidorah",1991,2.0
"Godzilla vs Spacegodzilla",1994,2.0
"Attack of the 60 Foot Centerfold",1995,2.0
"Godzilla",1998,2.0
"Godzilla vs Megaguirus",2000,2.0
"Monsters vs Aliens",2009,2.0
"Pacific Rim: Uprising",2018,2.0
"God Raiga vs King Ohga: War of the Monsters",2021,2.0
"Pacific Rim: The Black",2021,2.0
"Godzilla Raids Again",1955,1.0
"The Monster that Challenged the World",1957,1.0
"The 30-Foot Bride of Candy Rock",1959,1.0
"All Monsters Attack",1969,1.0
"Gamera vs Zigra",1971,1.0
"Godzilla vs Megalon",1973,1.0
"King Kong Lives",1986,1.0
"Dinosaur Island",1994,1.0
"Raiga: God of Monsters",2009,1.0
"Dinocroc vs Supergator",2010,1.0
"Giantess Battle Attack",2022,1.0
"It Came From Beneath the Sea",1955,0.5
"Gamera vs Viras",1968,0.5
"Gamera: Super Monster",1980,0.5
"The Mighty Kong",1998,0.5
"Reigo: King of the Sea Monsters",2005,0.5
"Hammer of Draco Wrath of Dragons",2022,0.5
"Attack of the 50 Foot Camgirl",2022,0.5
